hint1;Hint 1: If the text starts with "-", it means the main character is speaking out loud.
hint2;Hint 2: If the text begins with quotation marks, then these are the thoughts of the main character.
1;Russia, nameless village. A story about an ordinary Russian guy.
2;You wake up. Head is buzzing, as if you were hit with a sledgehammer.
3;Twice.
4;Yesterday was your friend's birthday.
5;"Yes, we had a good rest yesterday."
6;The body is heavy, it’s hard to even move a finger.
7;After a couple of minutes, you finally started to come to your senses and were able to open your eyes.
8;There's not a cloud in the sky. There is no wind. No sound (except the buzzing in the head).
9;"Strange. Something is not right. Need to get up."
10;"Strange. Something is not right. Need to get up.": Stand up sharply
11;Get up
12;Rise carefully and slowly
13;Having come to your senses, you decided to look around.
14;There is a ditch to your right. There was a bottle filled with some kind of liquid.
16;Drink the contents?: Yes
17;The bottle contained a mixture of alcohol and ditch water.
18;Your body could not withstand such a test of strength and you gave up the ghost.
19;No
20;"Surely this is water from a ditch or some kind of swill that can make you blind."
21;"Need to see what's going on in the village. I'll go there".
22;Silence. All houses are closed.
23;"Where has everyone gone?"
24;"Oh yes, today there is a wedding in another village and everyone is there. So I'm the only one here."
25;You noticed a flying saucer standing in the middle of the road.
26;"Where did it come from?"
27;Going around it, you didn't find anything.
28;Except for some small lightnings surrounding the device.
29;"Maybe something like a force field? Come on..."
30;You are trying to touch a flying saucer. Surprisingly, you manage to do it.
31;So, there is no field. Well, I didn't really want it!
32;Inside the flying saucer it turned out to be somehow...empty.
33;A transparent canister with a clear blue liquid, about two-thirds full.
34;Colored holograms of buttons - red and green.
35;There was nothing else.
36;Drink from a canister
37;"It smells like donkey urine."
38;"But it tastes good."
39;You put the canister back. It's now about a third full.
40;Finish the liquid
41;"The samurai go all the way!"
42;As soon as you emptied the canister, you began to experience severe gas formation.
43;It became too difficult to contain it.
44;There was a huge explosion that did not leave an atom even from a flying saucer.
45;This led to the emergence of an exclusion zone.
46;Press the red button
47;The flying saucer exploded. Apparently, it was a self-destruct button.
48;Press the green button
49;The canister was emptied. Through the porthole you can see that the saucer has stopped between the Earth and the Moon.
50;Without a spacesuit you can't breathe. The buttons are blocked.
51;You felt a little jolt.
52;"Are these instead of massage chairs? A useless thing."
53;You spat on the green button. And then decided  inspect the device at last.
54;A lot of liquid has disappeared in the canister. Twenty to thirty percent left.
55;After leaving the saucer, you found yourself in some large city.
56;Almost every building had its own architectural style.
57;You noticed that next to you was the inscription "Parking", made in many languages.
58;The streets were empty.
59;Suddenly, a voice rang in your head.
60;Voice: Welcome!
61;"So i'm hallucinating that strong. What we consumed yesterday really was alcohol?"
62;Voice: You are not hallucinating. You found yourself in a city on the Moon.
63;"I heard that if you give in to hallucinations, they will pass faster."
64;- Where is the toilet?
65;Voice: Every resident has his own house. It also has a toilet.
66;"Ha, and you call yourselves aliens? But in our village everything around us is a toilet!"
67;Voice: No one prevents you from doing so in your home.
68;- Do you have to pay taxes on the Moon?
69;Voice: No.
70;"Truly a Paradise."
71;- Where are the aliens? Did I get there in vain?
72;Voice: Due to the high development of alien life, residents usually do not leave their homes.
73;"Ah, I get it. My neighbor is like this. He also constantly screams that some unskillfully dudes got him."
74;Keep silent
75;Voice: Frankly, you shouldn't be here.
76;"Just like you in my head! Get out!"
77;Voice: Was the flying saucer really empty?
78;"No, there was a canister there. And the buttons."
79;Voice: Very strange. Then we need to figure out what happened. You will be given a card.
80;Voice: And you are prohibited from transmitting it without permission. And yes, in the canister was fuel!
81;With these words, you found yourself in a room similar to a bedroom.
82;"Eh, we didn't finish! Which card? Do you need another SIM card on the Moon?"
83;A creature appeared out of nowhere in the room.
84;With eyes and face it resembled the Grays from science fiction, but was completely white.
85;And he's also a three-meter tall jock.
86;"Oh, here comes the coolest guy in the area. And there's nowhere to run."
87;Jock: Welcome to city our! Name my is Kh'arg. On the situation I'll brief you.
88;The jock spoke so fast that you couldn't get a word in.
89;Kh'arg: The flying saucer you shouldn't have found.
