hint1;Подсказка 1: Если текст начинается с "-", значит, главный герой говорит вслух.
hint2;Подсказка 2: Если текст начинается с кавычек, то это мысли главного героя.
1;Россия, безымянная деревня. Рассказ про обычного русского парня.
2;Вы просыпаетесь. Голова гудит, словно Вам заехали по ней кувалдой.
3;Дважды.
4;Вчера был день рождения Вашего друга.
5;"Да, хорошо мы вчера погуляли".
6;Тело деревянное, даже пальцем тяжело пошевелить.
7;Спустя пару минут Вы наконец начали приходить в себя и смогли открыть глаза.
8;На небе ни облачка. Ветра нет. Ни звука (кроме гудения в голове).
10;"Странно. Что-то не так. Нужно вставать.": Резко встать
11;Привстать
12;Аккуратно и медленно подняться
13;Придя в себя, Вы решили осмотреться.
14;Справа от Вас оказалась канава. В ней стояла бутылка, наполненная какой-то жидкостью.
16;Выпить содержимое?: Да
17;В бутылке оказалась смесь алкоголя и воды из канавы.
18;Ваш организм не выдержал такого испытания на прочность и Вы испустили дух.
19;Нет
20;"Наверняка это вода из канавы или какое-нибудь пойло, от которого ослепнуть можно."
21;"Надо посмотреть, что происходит в деревне. Отправлюсь-ка я туда".
22;Тишина. Все дома закрыты.
23;"Куда все запропастились?"
24;"Ах да, сегодня же свадьба в другой деревне и все там. Значит, я один здесь."
25;Вы заметили летающую тарелку, стоящую посреди дороги.
26;"Откуда она взялась?"
27;Обойдя её вокруг, вы ничего не обнаружили.
28;Кроме каких-то небольших молний, окружающих аппарат.
29;"Может, что-то типа силового поля? Ну-ка..."
30;Вы пытаетесь коснуться летающей тарелки. Удивительно, но Вам это удаётся.
31;"Значит, поля нет. Ну не очень-то и хотелось!"
32;Внутри летающей тарелки оказалось как-то...пусто.
33;Прозрачная канистра с прозрачно-голубой жидкостью, заполненная примерно на две трети.
34;Цветные голограммы кнопок - красная и зелёная.
35;Больше ничего не было.
36;Выпить из канистры
37;"Пахнет как ослиная моча."
38;"Но на вкус неплохо."
39;Вы поставили канистру обратно. Теперь она заполнена примерно на треть.
40;Допить жидкость
41;"Самураи идут до конца!"
42;Как только Вы опорожнили канистру, у Вас началось сильнейшее газообразование.
43;Его стало слишком сложно сдерживать.
